Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,o-Phos 1,0.002,mg P/L,0.001971,Tue Jan 21 19:31:56 2025,1,1
STANDARD 90,,o-Phos 1,0.006,mg P/L,0.005502,Tue Jan 21 19:33:13 2025,1,1
STANDARD 91,,o-Phos 1,0.013,mg P/L,0.012587,Tue Jan 21 19:34:30 2025,1,1
STANDARD 92,,o-Phos 1,0.026,mg P/L,0.025919,Tue Jan 21 19:35:48 2025,1,1
STANDARD 93,,o-Phos 1,0.074,mg P/L,0.073517,Tue Jan 21 19:37:05 2025,1,1
STANDARD 94,,o-Phos 1,0.153,mg P/L,0.15329,Tue Jan 21 19:38:23 2025,1,1
STANDARD 95,,o-Phos 1,0.309,mg P/L,0.308659,Tue Jan 21 19:39:40 2025,1,1
STANDARD 0,,o-Phos 1,0.002,mg P/L,0.002216,Tue Jan 21 19:40:58 2025,1,1
C C V,,o-Phos 1,0.519,mg P/L,0.158767,Tue Jan 21 19:42:16 2025,1,1
C C B ,,o-Phos 1,0.013,mg P/L,0.002172,Tue Jan 21 19:43:37 2025,1,1
S10T1L33,,o-Phos 1,0.048,mg P/L,0.012996,Tue Jan 21 19:44:56 2025,1,1
S26T2L39,,o-Phos 1,0.039,mg P/L,0.010114,Tue Jan 21 19:46:14 2025,1,1
S10T2L3,,o-Phos 1,0.048,mg P/L,0.012797,Tue Jan 21 19:47:32 2025,1,1
S8T1L10,,o-Phos 1,0.081,mg P/L,0.023297,Tue Jan 21 19:48:50 2025,1,1
S26T2L16,,o-Phos 1,0.083,mg P/L,0.023693,Tue Jan 21 19:50:08 2025,1,1
S8T1L3,,o-Phos 1,0.09,mg P/L,0.025995,Tue Jan 21 19:51:26 2025,1,1
S10T1L39,,o-Phos 1,0.047,mg P/L,0.012631,Tue Jan 21 19:52:44 2025,1,1
S34T2L16,,o-Phos 1,0.056,mg P/L,0.015555,Tue Jan 21 19:54:02 2025,1,1
S7T1L10,,o-Phos 1,0.135,mg P/L,0.039932,Tue Jan 21 19:55:21 2025,1,1
S10T2L39,,o-Phos 1,1.261,mg P/L,0.128007,Tue Jan 21 21:12:10 2025,1,3.01
C C V,,o-Phos 1,0.522,mg P/L,0.159799,Tue Jan 21 19:57:57 2025,1,1
C C B ,,o-Phos 1,0.014,mg P/L,0.00233,Tue Jan 21 19:59:17 2025,1,1
S10T2L10,,o-Phos 1,0.175,mg P/L,0.052293,Tue Jan 21 20:00:37 2025,1,1
S34T1L33,,o-Phos 1,0.134,mg P/L,0.039656,Tue Jan 21 20:01:55 2025,1,1
S10T1L3,,o-Phos 1,0.095,mg P/L,0.027498,Tue Jan 21 20:03:13 2025,1,1
S34T1L3,,o-Phos 1,0.081,mg P/L,0.023153,Tue Jan 21 20:04:31 2025,1,1
S34T2L10,,o-Phos 1,0.14,mg P/L,0.04134,Tue Jan 21 20:05:49 2025,1,1
S34T1L9,,o-Phos 1,0.272,mg P/L,0.082497,Tue Jan 21 20:07:06 2025,1,1
S10T1L33,,o-Phos 1,0.048,mg P/L,0.012814,Tue Jan 21 20:08:24 2025,1,1
S7T2L16,,o-Phos 1,0.084,mg P/L,0.024214,Tue Jan 21 20:09:41 2025,1,1
S8T1L33,,o-Phos 1,0.075,mg P/L,0.021423,Tue Jan 21 20:10:58 2025,1,1
S34T1L47,,o-Phos 1,0.054,mg P/L,0.014755,Tue Jan 21 20:12:15 2025,1,1
C C V,,o-Phos 1,0.53,mg P/L,0.162362,Tue Jan 21 20:13:32 2025,1,1
C C B ,,o-Phos 1,0.012,mg P/L,0.001889,Tue Jan 21 20:14:53 2025,1,1
S7T1L16,,o-Phos 1,0.265,mg P/L,0.08008,Tue Jan 21 20:16:12 2025,1,1
S34T1L41,,o-Phos 1,0.069,mg P/L,0.019359,Tue Jan 21 20:17:29 2025,1,1
S7T2L33,,o-Phos 1,0.044,mg P/L,0.011709,Tue Jan 21 20:18:46 2025,1,1
S34T2L39,,o-Phos 1,0.124,mg P/L,0.036644,Tue Jan 21 20:20:03 2025,1,1
S34T2L47,,o-Phos 1,0.034,mg P/L,0.008534,Tue Jan 21 20:21:20 2025,1,1
S7T1L3,,o-Phos 1,0.059,mg P/L,0.016425,Tue Jan 21 20:22:36 2025,1,1
S7T2L3,,o-Phos 1,0.198,mg P/L,0.059452,Tue Jan 21 20:23:54 2025,1,1
S34T2L31,,o-Phos 1,0.125,mg P/L,0.036737,Tue Jan 21 20:25:11 2025,1,1
S8T1L39,,o-Phos 1,0.077,mg P/L,0.021867,Tue Jan 21 20:26:28 2025,1,1
S26T2L47,,o-Phos 1,0.058,mg P/L,0.015889,Tue Jan 21 20:27:46 2025,1,1
C C V,,o-Phos 1,0.519,mg P/L,0.159004,Tue Jan 21 20:29:03 2025,1,1
C C B ,,o-Phos 1,0.014,mg P/L,0.002389,Tue Jan 21 20:30:24 2025,1,1
"S12T2L16	",,o-Phos 1,0.071,mg P/L,0.019966,Tue Jan 21 20:31:44 2025,1,1
S12T2L33,,o-Phos 1,0.114,mg P/L,0.033331,Tue Jan 21 20:33:01 2025,1,1
S26T1L16,,o-Phos 1,0.589,mg P/L,0.180629,Tue Jan 21 20:34:19 2025,1,1
"S10T1L33	",,o-Phos 1,0.145,mg P/L,0.043066,Tue Jan 21 20:35:36 2025,1,1
S12T2L47,,o-Phos 1,0.047,mg P/L,0.012705,Tue Jan 21 20:36:54 2025,1,1
S12T2L3,,o-Phos 1,0.051,mg P/L,0.014021,Tue Jan 21 20:38:11 2025,1,1
S26T1L47,,o-Phos 1,0.041,mg P/L,0.01076,Tue Jan 21 20:39:29 2025,1,1
S7T1L39,,o-Phos 1,0.073,mg P/L,0.020689,Tue Jan 21 20:40:46 2025,1,1
S8T2L47,,o-Phos 1,0.088,mg P/L,0.02536,Tue Jan 21 20:42:04 2025,1,1
S8T1L47,,o-Phos 1,0.083,mg P/L,0.023907,Tue Jan 21 20:43:25 2025,1,1
C C V,,o-Phos 1,0.525,mg P/L,0.160712,Tue Jan 21 20:44:43 2025,1,1
C C B ,,o-Phos 1,0.014,mg P/L,0.002449,Tue Jan 21 20:45:41 2025,1,1
S8T2L16,,o-Phos 1,0.051,mg P/L,0.014012,Tue Jan 21 20:46:43 2025,1,1
S12T2L9,,o-Phos 1,0.202,mg P/L,0.01886,Tue Jan 21 21:13:03 2025,1,3.01
S7T2L47,,o-Phos 1,0.11,mg P/L,0.032286,Tue Jan 21 20:48:29 2025,1,1
S12T2L39,,o-Phos 1,0.05,mg P/L,0.013509,Tue Jan 21 20:49:22 2025,1,1
S12T1L16,,o-Phos 1,0.332,mg P/L,0.100832,Tue Jan 21 20:50:16 2025,1,1
S12T1L39,,o-Phos 1,0.212,mg P/L,0.063913,Tue Jan 21 20:51:09 2025,1,1
BLANK,,o-Phos 1,0.015,mg P/L,0.002641,Tue Jan 21 20:52:02 2025,1,1
S26T1L39,,o-Phos 1,1.385,mg P/L,0.140748,Tue Jan 21 21:13:56 2025,1,3.01
C C V,,o-Phos 1,0.496,mg P/L,0.151643,Tue Jan 21 20:53:48 2025,1,1
C C B ,,o-Phos 1,0.013,mg P/L,0.001954,Tue Jan 21 20:54:42 2025,1,1
CCV,,o-Phos 1,0.471,mg P/L,0.144124,Tue Jan 21 21:10:22 2025,1,1
