"Site","Transect","myco_host_total","perc_myco_host_freq"
"1","1",125,0.637755102040816
"1","2",178,0.684615384615385
"10","1",159,0.726027397260274
"10","2",143,0.740932642487047
"11","1",117,0.73125
"11","2",177,0.66044776119403
"12","1",176,0.709677419354839
"12","2",192,0.786885245901639
"13","1",122,0.7625
"13","2",144,0.782608695652174
"14","1",139,0.863354037267081
"14","2",124,0.879432624113475
"15","1",98,0.837606837606838
"15","2",95,0.863636363636364
"16","1",97,0.723880597014925
"16","2",67,0.563025210084034
"17","1",108,0.76056338028169
"17","2",114,0.77027027027027
"18","1",111,0.735099337748344
"18","2",131,0.834394904458599
"19","1",118,0.874074074074074
"19","2",120,0.833333333333333
"2","1",120,0.731707317073171
"2","2",139,0.652582159624413
"20","1",138,0.693467336683417
"20","2",149,0.745
"21","1",132,0.885906040268456
"21","2",98,0.875
"22","1",96,0.95049504950495
"22","2",110,0.932203389830508
"23","1",118,0.802721088435374
"23","2",86,0.722689075630252
"24","1",161,0.785365853658537
"24","2",149,0.861271676300578
"25","1",96,0.653061224489796
"25","2",75,0.559701492537313
"26","1",200,0.858369098712446
"26","2",144,0.727272727272727
"27","1",104,0.702702702702703
"27","2",126,0.763636363636364
"28","1",115,0.741935483870968
"28","2",140,0.7
"29","1",169,0.565217391304348
"29","2",113,0.5
"3","1",126,0.812903225806452
"3","2",105,0.695364238410596
"30","1",157,0.769607843137255
"30","2",118,0.698224852071006
"31","1",109,0.698717948717949
"31","2",116,0.682352941176471
"32","1",128,0.785276073619632
"32","2",136,0.790697674418605
"33","1",114,0.826086956521739
"33","2",141,0.886792452830189
"34","1",69,0.704081632653061
"34","2",88,0.807339449541284
"35","1",140,0.725388601036269
"35","2",136,0.708333333333333
"36","1",139,0.698492462311558
"36","2",123,0.736526946107784
"37","1",108,0.590163934426229
"37","2",116,0.655367231638418
"38","1",127,0.783950617283951
"38","2",149,0.788359788359788
"39","1",162,0.790243902439024
"39","2",125,0.886524822695035
"4","1",121,0.668508287292818
"4","2",119,0.712574850299401
"40","1",181,0.82648401826484
"40","2",170,0.894736842105263
"41","1",168,0.819512195121951
"41","2",146,0.780748663101604
"42","1",85,0.482954545454545
"42","2",109,0.615819209039548
"43","1",110,0.654761904761905
"43","2",105,0.724137931034483
"44","1",122,0.730538922155689
"44","2",117,0.841726618705036
"45","1",142,0.751322751322751
"45","2",160,0.851063829787234
"46","1",148,0.718446601941748
"46","2",157,0.648760330578512
"47","1",82,0.529032258064516
"47","2",110,0.531400966183575
"48","1",142,0.71
"48","2",94,0.576687116564417
"49","1",79,0.622047244094488
"49","2",99,0.630573248407643
"5","1",119,0.691860465116279
"5","2",150,0.728155339805825
"50","1",135,0.652173913043478
"50","2",184,0.686567164179104
"51","1",141,0.674641148325359
"51","2",163,0.819095477386935
"52","1",158,0.718181818181818
"52","2",146,0.733668341708543
"53","1",74,0.813186813186813
"53","2",96,0.793388429752066
"54","1",115,0.76158940397351
"54","2",117,0.823943661971831
"55","1",153,0.818181818181818
"55","2",152,0.730769230769231
"56","1",132,0.814814814814815
"56","2",122,0.777070063694268
"57","1",126,0.707865168539326
"57","2",106,0.75177304964539
"58","1",135,0.767045454545455
"58","2",116,0.682352941176471
"59","1",107,0.607954545454545
"59","2",159,0.676595744680851
"6","1",160,0.717488789237668
"6","2",185,0.663082437275986
"60","1",124,0.673913043478261
"60","2",115,0.701219512195122
"61","1",102,0.80952380952381
"61","2",107,0.786764705882353
"62","1",96,0.484848484848485
"62","2",75,0.375
"63","1",101,0.737226277372263
"63","2",145,0.71078431372549
"64","1",154,0.819148936170213
"64","2",150,0.842696629213483
"65","1",43,0.934782608695652
"65","2",89,0.946808510638298
"66","1",19,1
"66","2",16,0.941176470588235
"67","1",156,0.825396825396825
"67","2",152,0.817204301075269
"7","1",154,0.652542372881356
"7","2",142,0.609442060085837
"8","1",118,0.715151515151515
"8","2",150,0.769230769230769
"9","1",182,0.81981981981982
"9","2",163,0.744292237442922
