"","Site","Transect","Latitude","Longitude","Site_Pair","Vegetation.Class","Vegetation.Class_abbreviation","Fire.Interval","Most.Recent.Fire_Year","X2nd.Most.Recent.Fire_Year","X3rd.Most.Recent.Fire_Year","Fire.Severity","FESM_Fire.Severity.Category","Fire.Type","Sample.Date_Fieldwork","Tree.Basal.Area_m2","Litter.Cover_20mm_perc","Mean.Litter.Depth_mm","Herb.Cover_0.50cm_perc","Shrub.Cover_50.200cm_perc","Shrub.Connected_50.200cm_perc","Mean.Max.Shrub.Height_cm","Herb.Shrub.Connected_0.200cm_perc","All.Tree.Canopy.Cover_perc","Live.Tree.Canopy.Cover_perc","Dead.Tree.Canopy.Cover_perc","Bray.P","NH4","NO3","Total.P","Carbon","Nitrogen","diff1","diff2","fire.frequency"
"1",5,1,-33.5781,150.27821,"49-5","Sydney Montane DSF","SM","Short",2019,2013,2006,"Low",3,"Wildfire","2022-08-02",58212.91,36.734693877551,14.2777777777778,54,40,2,59.46,32,38,37,1,1.69467787114846,4.186,0.1855,76.5,3.3293,0.03071,6,7,6.5
"2",5,2,-33.5781,150.27821,"49-5","Sydney Montane DSF","SM","Short",2019,2013,2006,"Low",3,"Wildfire","2022-08-02",58212.91,31.6326530612245,12.2258064516129,66,26,0,90.98,22,26,17,9,1.93837535014006,9.228,0.204,101,2.2253,0.02246,6,7,6.5
"3",7,1,-33.63916,150.36966,"34-7","Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",3,"Wildfire","2022-08-05",36389.88,34.6938775510204,6.68235294117647,70,44,0,104.376,44,33,26,7,1.50350140056022,3.5055,0.1275,46.7,4.0009,0.03869,17,NA,17
"4",7,2,-33.63916,150.36966,"34-7","Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",3,"Wildfire","2022-08-05",36389.88,30.6122448979592,8.13333333333333,60,32,2,82.88,32,33,23,10,NA,3.924,0.2135,56.3,3.7072,0.06081,17,NA,17
"5",8,1,-33.65039,150.32069,"26-8","Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",2,"Wildfire","2022-07-27",50661.65,41.8367346938776,10.2682926829268,52,40,0,92.46,36,34,1,0,1.68977591036415,5.585,0.218,81,2.9789,0.04442,17,NA,17
"6",8,2,-33.65039,150.32069,"26-8","Sydney Montane DSF","SM","Long",2019,2002,NA,"Low",2,"Wildfire","2022-07-27",50661.65,36.734693877551,13.8472222222222,44,42,0,71.66,36,33,0,0,1.48459383753501,8.314,0.1035,85.3,6.9823,0.09722,17,NA,17
"7",10,1,-33.48607,150.40622,"10-56","Sydney Montane DSF","SM","Short",2019,2013,2005,"High",4,"Wildfire","2022-08-16",34679.44,25.5102040816327,9.04,60,30,6,104.8,28,17,17,0,2.83613445378151,5.8655,0.176,167.7,8.2219,0.11274,6,8,7
"8",10,2,-33.48607,150.40622,"10-56","Sydney Montane DSF","SM","Short",2019,2013,2005,"High",4,"Wildfire","2022-08-16",34679.44,29.5918367346939,5.6551724137931,74,28,0,90.04,24,11,11,0,2.39635854341737,5.2345,0.0175,98.7,5.5992,0.14579,6,8,7
"9",11,1,-33.51962,150.35631,"11-29","Sydney Montane DSF","SM","Short",2019,2013,2011,"High",5,"Wildfire","2022-08-09",53938.73,27.5510204081633,10.9285714285714,68,36,0,94.78,32,20,7,13,1.62254901960784,1.9035,0.125,106.1,3.2763,0.03378,6,2,4
"10",11,2,-33.51962,150.35631,"11-29","Sydney Montane DSF","SM","Short",2019,2013,2011,"High",5,"Wildfire","2022-08-09",53938.73,24.4897959183673,7.375,64,22,0,41,16,15,7,8,0.400560224089636,2.5485,0.2895,77.9,1.706,0.04369,6,2,4
"11",12,1,-33.52589,150.56587,"12-31","Sydney Coastal DSF","SC","Long",2019,2001,NA,"High",4,"Wildfire","2022-08-17",15743.3,23.469387755102,8.28260869565217,72,64,10,120.64,64,26,0,26,1.90826330532213,3.08,0.214,79.7,2.8202,0.05049,18,NA,18
"12",12,2,-33.52589,150.56587,"12-31","Sydney Coastal DSF","SC","Long",2019,2001,NA,"High",4,"Wildfire","2022-08-17",15743.3,21.4285714285714,5.69047619047619,58,36,2,66.2,34,32,2,30,1.50490196078431,11.163,0.2905,67.5,2.1151,0.017,18,NA,18
"13",26,1,-33.4982,150.50014,"26-8","Sydney Coastal DSF","SC","Short",2019,2013,2006,"Low",2,"Wildfire","2022-09-26",27642.28,39.7959183673469,25.2564102564103,82,52,8,133.54,50,42,39,16,1.73949579831933,6.337,0.178,57.8,4.5864,0.09911,6,7,6.5
"14",26,2,-33.4982,150.50014,"26-8","Sydney Coastal DSF","SC","Short",2019,2013,2006,"Low",2,"Wildfire","2022-09-26",27642.28,33.6734693877551,18.2727272727273,96,30,2,76.36,30,41,41,11,0.535014005602241,5.0765,0.14,86.4,4.7465,0.08495,6,7,6.5
"15",29,1,-34.08446,151.07002,"11-29","Sydney Coastal DSF","SC","Long",2020,2001,NA,"High",NA,"Prescribed Burn","2022-10-07",14419.73,29.5918367346939,33.9310344827586,68,48,6,130.92,44,27,21,6,0.282913165266106,4.3565,0.267,51,3.8906,0.0874,19,NA,19
"16",29,2,-34.08446,151.07002,"11-29","Sydney Coastal DSF","SC","Long",2020,2001,NA,"High",NA,"Prescribed Burn","2022-10-07",14419.73,29.5918367346939,33.7241379310345,68,48,6,104.3,38,9,9,0,0.805322128851541,5.3235,0.2765,37.5,2.674,0.0465,19,NA,19
"17",31,1,-33.1823,150.69537,"12-31","Sydney Hinterland DSF","SH","Short",2019,2013,2006,"High",4,"Wildfire","2022-09-15",17264.47,35.7142857142857,11.8285714285714,78,32,2,91.54,26,34,19,22,1.87885154061625,2.2245,0.2015,58.7,3.4627,0.0585,6,7,6.5
"18",31,2,-33.1823,150.69537,"12-31","Sydney Hinterland DSF","SH","Short",2019,2013,2006,"High",4,"Wildfire","2022-09-15",17264.47,14.2857142857143,9.85714285714286,48,22,2,62.5,14,33,19,24,3.30182072829132,3.5925,0.2235,61.6,3.0008,0.05969,6,7,6.5
"19",34,1,-33.44346,150.59972,"34-7","Sydney Coastal DSF","SC","Short",2019,2013,2004,"Low",2,"Wildfire","2022-09-29",93095.19,39.7959183673469,12.8974358974359,32,16,2,42.76,12,49,48,6,1.34383753501401,3.3145,0.0895,NA,2.895,0.02581,6,9,7.5
"20",34,2,-33.44346,150.59972,"34-7","Sydney Coastal DSF","SC","Short",2019,2013,2004,"Low",2,"Wildfire","2022-09-29",93095.19,44.8979591836735,16.75,64,32,4,57.62,26,48,48,0,0.407563025210084,10.5175,0.0775,36.8,2.7508,0.02699,6,9,7.5
"21",49,1,-33.26627,150.67812,"49-5","Sydney Hinterland DSF","SH","Long",2019,2001,NA,"Low",2,"Wildfire","2022-10-14",23847.12,37.7551020408163,17.1621621621622,26,56,4,135.2,40,48,48,4,2,4.303,0.138,92.4,3.744,0.04254,18,NA,18
"22",49,2,-33.26627,150.67812,"49-5","Sydney Hinterland DSF","SH","Long",2019,2001,NA,"Low",2,"Wildfire","2022-10-14",23847.12,37.7551020408163,19.3783783783784,58,64,12,175.74,58,46,46,8,1.91946778711485,5.2955,0.19,44.8,3.845,0.04942,18,NA,18
"23",56,1,-32.79934,150.90987,"10-56","Sydney Hinterland DSF","SH","Long",2019,2001,1990,"High",4,"Wildfire","2022-11-28",24156.21,26.530612244898,7.34615384615385,42,62,2,92.16,60,45,42,11,2.13865546218487,9.63,0.1985,128.9,4.2317,0.08606,18,11,14.5
"24",56,2,-32.79934,150.90987,"10-56","Sydney Hinterland DSF","SH","Long",2019,2001,1990,"High",4,"Wildfire","2022-11-28",24156.21,18.3673469387755,6.94736842105263,66,68,8,188.68,68,50,49,10,1.74509803921569,5.8875,0.245,98.9,5.185,0.12736,18,11,14.5
